modele,condition,strate,P,n_vide,somme_inter,rho_Base,rho_chapeau_Base,R_Base,IC_R_inf,IC_R_sup,epsilon_R,epsilon_R_centre,classe_R,classe_R_centre,Delta_Base,IC_D_inf,IC_D_sup,epsilon_B,Delta_chapeau_Base,ecart_Delta_moins_chapeau,ecart_sur_epsilon_B,classe_Delta,classe_B,sigma_pm,sigma_hat_pool,Psi,sigma_hat_pool_z,Psi_z,sigma_hat_pool_tronque,Psi_tronque,classe_Sigma_h,classe_Sigma_z,classe_Sigma_tronque,classe_Sigma_monotone_PROMUE,classe_Sigma_deux_points_DESCRIPTIVE,profil_monotone,n_inversions,N_eff_variance,DEFF,rho_ic,cos_moyen_h,gamma_moyen_h,vivier_min,vivier_max
gpt2,aucun,S3,360,0,5993,0.6172,0.6239,-0.0066,-0.0864,0.0739,0.0808,0.0801,R-nul,R-nul,0.1467,0.1085,0.1916,0.0307,0.1388,0.0078,0.2558,Δ-priv,B-haut,1.0000,1.0000,0.0000,1.0000,0.0000,0.9897,0.0103,Σ-epuise,Σ-epuise,Σ-epuise,Σ-epuise,Σ-epuise,True,0,SANS_OBJET,SANS_OBJET,SANS_OBJET,0.7434,0.8063,1,1
gpt2,aucun,S2,540,0,6778,0.7030,0.7076,-0.0046,-0.0815,0.0732,0.0776,0.0773,R-nul,R-nul,SANS_OBJET,SANS_OBJET,SANS_OBJET,SANS_OBJET,SANS_OBJET,SANS_OBJET,SANS_OBJET,Δ-sansobjet,B-haut,1.0000,1.0000,0.0000,1.0000,0.0000,0.9725,0.0275,Σ-epuise,Σ-epuise,Σ-epuise,Σ-epuise,Σ-epuise,True,0,SANS_OBJET,SANS_OBJET,SANS_OBJET,0.6804,0.8065,0,0
gpt2,aucun,S1,2160,0,32251,0.6512,0.6576,-0.0063,-0.0870,0.0735,0.0811,0.0802,R-nul,R-nul,0.2177,0.1895,0.2485,0.0202,0.2050,0.0127,0.6275,Δ-priv,B-haut,1.0000,1.0000,0.0000,1.0000,0.0000,0.9849,0.0151,Σ-epuise,Σ-epuise,Σ-epuise,Σ-epuise,Σ-epuise,True,0,SANS_OBJET,SANS_OBJET,SANS_OBJET,0.7177,0.8064,9,9
gpt2,aucun,S0,7560,0,86435,0.7333,0.7379,-0.0046,-0.0747,0.0657,0.0710,0.0702,R-nul,R-nul,0.3771,0.3640,0.3902,0.0177,0.3552,0.0220,1.2403,Δ-priv,B-haut,1.0000,1.0000,0.0000,1.0000,0.0000,0.9639,0.0361,Σ-epuise,Σ-epuise,Σ-epuise,Σ-epuise,Σ-epuise,True,0,SANS_OBJET,SANS_OBJET,SANS_OBJET,0.6556,0.8066,24,30
gpt2,type,S3,360,96,813,0.0074,0.0106,-0.0032,-0.0173,0.0119,0.0155,0.0146,R-nul,R-nul,-0.0062,-0.0135,0.0013,0.0131,-0.0132,0.0070,0.5374,Δ-nul,B-mort,0.9668,0.9839,-0.0171,0.9837,-0.0169,0.7774,0.1894,Σ-epuise,Σ-epuise,Σ-epuise,Σ-epuise,Σ-epuise,True,0,50.1,16.23,SANS_OBJET,0.2392,-0.0022,1,1
gpt2,type,S2,540,283,339,0.0029,0.0126,-0.0096,-0.0170,-0.0005,0.0160,0.0083,R-nul,R-ind,SANS_OBJET,SANS_OBJET,SANS_OBJET,SANS_OBJET,SANS_OBJET,SANS_OBJET,SANS_OBJET,Δ-sansobjet,B-mort,0.6578,0.6742,-0.0164,0.6707,-0.0128,0.5346,0.1232,Σ-mort,Σ-mort,Σ-mort,Σ-mort,Σ-mort,SANS_OBJET,SANS_OBJET,19.8,17.10,SANS_OBJET,0.0422,-0.0018,0,0
gpt2,type,S1,2160,841,2681,0.0157,0.0117,0.0040,-0.0106,0.0201,0.0170,0.0153,R-nul,R-nul,0.0002,-0.0107,0.0102,0.0087,-0.0069,0.0071,0.8178,Δ-nul,B-mort,0.9418,0.9299,0.0119,0.9277,0.0141,0.6834,0.2585,Σ-epuise,Σ-epuise,Σ-epuise,Σ-epuise,Σ-epuise,True,0,190.2,14.10,0.2998,0.1585,-0.0021,9,9
gpt2,type,S0,7560,3955,5083,0.0183,0.0126,0.0057,-0.0103,0.0224,0.0198,0.0164,R-nul,R-nul,0.0050,-0.0027,0.0121,0.0057,-0.0007,0.0057,0.9959,Δ-ind,B-mort,0.3923,0.3847,0.0076,0.3876,0.0047,0.4753,-0.0830,Σ-epuise,Σ-epuise,Σ-epuise,Σ-epuise,Σ-epuise,True,0,341.1,14.90,0.1660,-0.0363,-0.0016,24,30
HuggingFaceTB/SmolLM2-360M,aucun,S3,360,0,7275,0.6690,0.7010,-0.0320,-0.1120,0.0476,0.0996,0.0799,R-nul,R-nul,0.1366,0.1101,0.1640,0.0280,0.1591,-0.0225,0.8045,Δ-priv,B-haut,1.0000,1.0000,0.0000,1.0000,0.0000,0.9962,0.0038,Σ-epuise,Σ-epuise,Σ-epuise,Σ-epuise,Σ-epuise,True,0,SANS_OBJET,SANS_OBJET,SANS_OBJET,0.7886,0.8522,1,1
HuggingFaceTB/SmolLM2-360M,aucun,S2,540,0,8385,0.7445,0.7696,-0.0250,-0.0977,0.0478,0.0855,0.0728,R-nul,R-nul,SANS_OBJET,SANS_OBJET,SANS_OBJET,SANS_OBJET,SANS_OBJET,SANS_OBJET,SANS_OBJET,Δ-sansobjet,B-haut,1.0000,1.0000,0.0000,1.0000,0.0000,0.9875,0.0125,Σ-epuise,Σ-epuise,Σ-epuise,Σ-epuise,Σ-epuise,True,0,SANS_OBJET,SANS_OBJET,SANS_OBJET,0.7404,0.8524,0,0
