modele,strate,P,Delta_rem,IC_rem_inf,IC_rem_sup,Delta_add,IC_add_inf,IC_add_sup,Delta_etoile,IC_Delta_inf,IC_Delta_sup,Delta_rem_indices,Delta_add_indices,Delta_etoile_indices,identite_par_paire,ecart_max_ULP,identite_sur_les_estimes,ecart_estimes_ULP,ecart_avec_la_primaire_gelee,statut
gpt2,S3,360,0.22482639,0.21315104,0.23541667,0.15040339,0.14153633,0.16013072,0.37522978,0.36526144,0.38525595,14.388889,9.625817,24.014706,PASS,0.000,PASS,0.000,0.000000,DESCRIPTIF
gpt2,S2,540,0.18631366,0.17572266,0.19701968,0.15368158,0.14768850,0.15903301,0.33999523,0.32853848,0.35159335,11.924074,9.835621,21.759695,PASS,0.000,PASS,1.000,0.000000,DESCRIPTIF
gpt2,S1,2160,0.21390336,0.20137204,0.23121384,0.14999192,0.14019069,0.15955691,0.36389527,0.35434305,0.37508867,13.689815,9.599483,23.289297,PASS,0.000,PASS,1.000,0.000000,DESCRIPTIF
gpt2,S0,7560,0.16813823,0.16044212,0.17666733,0.15181842,0.14636485,0.15737335,0.31995665,0.31208541,0.32828043,10.760847,9.716379,20.477225,PASS,0.000,PASS,1.000,0.000000,DESCRIPTIF
HuggingFaceTB/SmolLM2-360M,S3,360,0.29153646,0.27495660,0.30503472,0.14394148,0.13554177,0.15297998,0.43547794,0.42653442,0.44337227,18.658333,9.212255,27.870588,PASS,0.000,PASS,1.000,0.000000,DESCRIPTIF
HuggingFaceTB/SmolLM2-360M,S2,540,0.23203125,0.21680990,0.24826389,0.15927458,0.14967810,0.16923679,0.39130583,0.37928228,0.40416713,14.850000,10.193573,25.043573,PASS,0.000,PASS,0.000,0.000000,DESCRIPTIF
HuggingFaceTB/SmolLM2-360M,S1,2160,0.28026620,0.26138091,0.29563806,0.14607035,0.13619787,0.15757941,0.42633655,0.41598270,0.43462783,17.937037,9.348502,27.285539,PASS,0.000,PASS,1.000,0.000000,DESCRIPTIF
HuggingFaceTB/SmolLM2-360M,S0,7560,0.23255622,0.22025164,0.24468436,0.15525186,0.14699318,0.16410704,0.38780807,0.38209434,0.39487664,14.883598,9.936119,24.819717,PASS,0.000,PASS,1.000,0.000000,DESCRIPTIF
Qwen/Qwen2.5-1.5B,S3,360,0.17335069,0.16145833,0.18511285,0.13119638,0.12554630,0.13728311,0.30454708,0.29631842,0.31303622,11.094444,8.396569,19.491013,PASS,0.000,PASS,1.000,0.000000,DESCRIPTIF
Qwen/Qwen2.5-1.5B,S2,540,0.13845486,0.12540437,0.14997179,0.12998366,0.12386468,0.13635634,0.26843852,0.25941747,0.27733873,8.861111,8.318954,17.180065,PASS,0.000,PASS,0.000,0.000000,DESCRIPTIF
Qwen/Qwen2.5-1.5B,S1,2160,0.15736400,0.14440443,0.17245474,0.13006791,0.12333696,0.13838087,0.28743192,0.27843123,0.29948868,10.071296,8.324346,18.395643,PASS,0.000,PASS,1.000,0.000000,DESCRIPTIF
Qwen/Qwen2.5-1.5B,S0,7560,0.12530795,0.11806955,0.13321812,0.12645490,0.12172974,0.13139631,0.25176286,0.24579715,0.25793118,8.019709,8.093114,16.112823,PASS,0.000,PASS,1.000,0.000000,DESCRIPTIF
