modele,condition,strate,P,O_indices,cos,f,sigma_pm,sigma_pm_flottant,mediane_indices,IQR_bas,IQR_haut,corr_O_cos,p_sym_realise_median,exces_O_moins_p_sym_realise,p_sym_theorique_du_cos,exces_O_moins_p_sym_theorique,statut_p_sym_theorique
gpt2,aucun,S3,360,16.647222,0.276588,0.279088,1/1,1.000000,16/1,13/1,20/1,0.995436,14,2.647222,14,2.647222,PASS
gpt2,aucun,S2,540,12.551852,0.206957,0.208951,1/1,1.000000,12/1,10/1,15/1,0.991687,10,2.551852,10,2.551852,PASS
gpt2,aucun,S1,2160,14.931019,0.247890,0.250216,1/1,1.000000,14/1,12/1,18/1,0.993646,12,2.931019,13,1.931019,PASS
gpt2,aucun,S0,7560,11.433201,0.188646,0.190521,1/1,1.000000,11/1,9/1,14/1,0.991892,9,2.433201,9,2.433201,PASS
gpt2,glob,S3,360,2.422222,0.038102,0.040510,106/109,0.972477,2/1,1/1,3/1,0.980728,1,1.422222,2,0.422222,PASS
gpt2,glob,S2,540,0.761111,0.007281,0.011991,329/411,0.800487,1/1,0/1,1/1,0.593935,1,-0.238889,1,-0.238889,PASS
gpt2,glob,S1,2160,1.435185,0.021719,0.023551,747/775,0.963871,1/1,0/1,2/1,0.961942,1,0.435185,1,0.435185,PASS
gpt2,glob,S0,7560,0.643122,0.001214,0.010154,2715/4862,0.558412,0/1,0/1,1/1,0.182331,0,0.643122,1,-0.356878,PASS
gpt2,type,S3,360,2.258333,0.034929,0.037642,262/271,0.966790,1/1,0/1,3/1,0.976642,1,1.258333,2,0.258333,PASS
gpt2,type,S2,540,0.627778,0.003091,0.009796,223/339,0.657817,0/1,0/1,1/1,0.277109,0,0.627778,1,-0.372222,PASS
gpt2,type,S1,2160,1.241204,0.017902,0.020322,2525/2681,0.941813,1/1,0/1,2/1,0.940280,1,0.241204,1,0.241204,PASS
gpt2,type,S0,7560,0.672354,-0.002299,0.010597,1994/5083,0.392288,0/1,0/1,1/1,-0.182762,0,0.672354,0,0.672354,PASS
gpt2,auto,S3,360,16.661111,0.276829,0.279343,1/1,1.000000,16/1,13/1,20/1,0.995595,14,2.661111,14,2.661111,PASS
gpt2,auto,S2,540,12.557407,0.207038,0.209036,1/1,1.000000,12/1,10/1,15/1,0.991581,10,2.557407,10,2.557407,PASS
gpt2,auto,S1,2160,14.957870,0.248217,0.250545,1/1,1.000000,14/1,12/1,18/1,0.993509,12,2.957870,13,1.957870,PASS
gpt2,auto,S0,7560,11.428439,0.188536,0.190409,1/1,1.000000,11/1,9/1,14/1,0.991878,9,2.428439,9,2.428439,PASS
gpt2,plac,S3,360,26.273039,0.632204,0.634434,1/1,1.000000,445/17,392/17,29/1,0.990027,23,3.273039,ABSENT,ABSENT,EN-ATTENTE
gpt2,plac,S2,540,22.387473,0.590015,0.592175,1/1,1.000000,379/17,353/17,406/17,0.965716,19,3.387473,ABSENT,ABSENT,EN-ATTENTE
gpt2,plac,S1,2160,24.530501,0.613509,0.615734,1/1,1.000000,411/17,378/17,452/17,0.983928,21,3.530501,ABSENT,ABSENT,EN-ATTENTE
gpt2,plac,S0,7560,21.149580,0.576557,0.578723,1/1,1.000000,358/17,331/17,386/17,0.967497,17,4.149580,ABSENT,ABSENT,EN-ATTENTE
HuggingFaceTB/SmolLM2-360M,aucun,S3,360,20.208333,0.336841,0.339670,1/1,1.000000,20/1,16/1,24/1,0.994910,18,2.208333,18,2.208333,PASS
HuggingFaceTB/SmolLM2-360M,aucun,S2,540,15.527778,0.256561,0.258876,1/1,1.000000,15/1,13/1,18/1,0.992741,13,2.527778,13,2.527778,PASS
HuggingFaceTB/SmolLM2-360M,aucun,S1,2160,19.137963,0.317424,0.320063,1/1,1.000000,19/1,16/1,23/1,0.994254,17,2.137963,17,2.137963,PASS
HuggingFaceTB/SmolLM2-360M,aucun,S0,7560,15.552646,0.256770,0.259106,1/1,1.000000,16/1,13/1,18/1,0.993114,13,2.552646,13,2.552646,PASS
HuggingFaceTB/SmolLM2-360M,glob,S3,360,1.911111,0.029569,0.031128,673/688,0.978198,1/1,0/1,3/1,0.982395,1,0.911111,2,-0.088889,PASS
HuggingFaceTB/SmolLM2-360M,glob,S2,540,0.690741,0.003929,0.011017,255/373,0.683646,0/1,0/1,1/1,0.269196,0,0.690741,1,-0.309259,PASS
HuggingFaceTB/SmolLM2-360M,glob,S1,2160,1.449537,0.021042,0.023402,2981/3131,0.952092,1/1,0/1,2/1,0.943403,1,0.449537,1,0.449537,PASS
HuggingFaceTB/SmolLM2-360M,glob,S0,7560,0.666005,0.002332,0.010514,58/95,0.610526,0/1,0/1,1/1,0.320778,0,0.666005,1,-0.333995,PASS
HuggingFaceTB/SmolLM2-360M,type,S3,360,1.550000,0.023462,0.025369,269/279,0.964158,1/1,0/1,2/1,0.965415,1,0.550000,1,0.550000,PASS
HuggingFaceTB/SmolLM2-360M,type,S2,540,0.677778,-0.000187,0.010894,181/366,0.494536,0/1,0/1,1/1,-0.133793,0,0.677778,0,0.677778,PASS
HuggingFaceTB/SmolLM2-360M,type,S1,2160,1.200926,0.016057,0.019258,2383/2594,0.918658,1/1,0/1,2/1,0.893527,1,0.200926,1,0.200926,PASS
HuggingFaceTB/SmolLM2-360M,type,S0,7560,0.669048,-0.002100,0.010526,2039/5058,0.403124,0/1,0/1,1/1,-0.152113,0,0.669048,0,0.669048,PASS
HuggingFaceTB/SmolLM2-360M,auto,S3,360,20.330556,0.339071,0.341941,1/1,1.000000,20/1,17/1,24/1,0.994580,18,2.330556,18,2.330556,PASS
HuggingFaceTB/SmolLM2-360M,auto,S2,540,15.651852,0.258657,0.261010,1/1,1.000000,16/1,13/1,18/1,0.992872,13,2.651852,13,2.651852,PASS
HuggingFaceTB/SmolLM2-360M,auto,S1,2160,19.215278,0.318959,0.321627,1/1,1.000000,19/1,16/1,22/1,0.994183,17,2.215278,17,2.215278,PASS
HuggingFaceTB/SmolLM2-360M,auto,S0,7560,15.631746,0.258260,0.260631,1/1,1.000000,16/1,13/1,18/1,0.992968,13,2.631746,13,2.631746,PASS
HuggingFaceTB/SmolLM2-360M,plac,S3,360,29.420588,0.699736,0.701577,1/1,1.000000,498/17,456/17,539/17,0.993937,27,2.420588,ABSENT,ABSENT,EN-ATTENTE
HuggingFaceTB/SmolLM2-360M,plac,S2,540,25.721351,0.663798,0.665689,1/1,1.000000,435/17,406/17,471/17,0.987612,23,2.721351,ABSENT,ABSENT,EN-ATTENTE
HuggingFaceTB/SmolLM2-360M,plac,S1,2160,28.486465,0.690685,0.692558,1/1,1.000000,484/17,448/17,521/17,0.991325,25,3.486465,ABSENT,ABSENT,EN-ATTENTE
HuggingFaceTB/SmolLM2-360M,plac,S0,7560,25.488764,0.661587,0.663475,1/1,1.000000,433/17,403/17,463/17,0.985698,22,3.488764,ABSENT,ABSENT,EN-ATTENTE
Qwen/Qwen2.5-1.5B,aucun,S3,360,12.858333,0.218442,0.220877,1/1,1.000000,12/1,9/1,16/1,0.992524,10,2.858333,11,1.858333,PASS
Qwen/Qwen2.5-1.5B,aucun,S2,540,9.614815,0.163589,0.165610,1/1,1.000000,9/1,7/1,12/1,0.988579,7,2.614815,8,1.614815,PASS
Qwen/Qwen2.5-1.5B,aucun,S1,2160,11.101852,0.188322,0.190492,1/1,1.000000,11/1,8/1,14/1,0.990570,9,2.101852,9,2.101852,PASS
Qwen/Qwen2.5-1.5B,aucun,S0,7560,8.676587,0.147121,0.148958,1/1,1.000000,8/1,6/1,11/1,0.988735,7,1.676587,7,1.676587,PASS
Qwen/Qwen2.5-1.5B,glob,S3,360,2.500000,0.040164,0.041521,889/900,0.987778,2/1,1/1,4/1,0.987837,2,0.500000,2,0.500000,PASS
Qwen/Qwen2.5-1.5B,glob,S2,540,0.970370,0.012446,0.015780,471/524,0.898855,1/1,0/1,1/1,0.795284,1,-0.029630,1,-0.029630,PASS
Qwen/Qwen2.5-1.5B,glob,S1,2160,1.570370,0.024442,0.025881,1655/1696,0.975825,1/1,0/1,2/1,0.968992,1,0.570370,1,0.570370,PASS
Qwen/Qwen2.5-1.5B,glob,S0,7560,0.731481,0.006826,0.011674,4379/5530,0.791863,0/1,0/1,1/1,0.661144,0,0.731481,1,-0.268519,PASS
Qwen/Qwen2.5-1.5B,type,S3,360,1.763889,0.026966,0.028966,123/127,0.968504,1/1,0/1,2/1,0.972240,1,0.763889,2,-0.236111,PASS
