modele,strate,mesure,P,O_type_indices,Lambda,IC_Lambda_inf,IC_Lambda_sup,classe_N,Delta_etoile,IC_Delta_inf,IC_Delta_sup,epsilon_etoile,classe_C
gpt2,S3,LOO,360,2.258333,0.01966146,0.00833333,0.03107747,HAUT,0.37522978,0.36526144,0.38525595,0.30417024,c-cent
gpt2,S2,LOO,540,0.627778,-0.00581597,-0.00810185,-0.00376085,BAS,0.33999523,0.32853848,0.35159335,0.27642531,c-cent
gpt2,S1,LOO,2160,1.241204,0.00376881,0.00007500,0.00876326,ind_L,0.36389527,0.35434305,0.37508867,0.36160991,ind_Δ
gpt2,S0,LOO,7560,0.672354,-0.00511946,-0.00635359,-0.00379308,BAS,0.31995665,0.31208541,0.32828043,0.31371412,ind_Δ
gpt2,S3,LOO_sous_ensemble,120,2.358333,0.02122396,0.00585938,0.04231771,HAUT,0.38074449,0.36622932,0.39422488,0.31037875,c-cent
gpt2,S2,LOO_sous_ensemble,240,0.554167,-0.00696615,-0.00957031,-0.00423177,BAS,0.34419041,0.33153608,0.35808824,0.28018784,c-cent
gpt2,S1,LOO_sous_ensemble,1128,1.257092,0.00401707,-0.00086410,0.00952621,ind_L,0.36507956,0.35240701,0.37778968,0.36184118,ind_Δ
gpt2,S0,LOO_sous_ensemble,3732,0.687567,-0.00488177,-0.00640656,-0.00339674,BAS,0.31971182,0.31153344,0.32839420,0.31321615,ind_Δ
gpt2,S3,split-half,120,2.633333,0.02552083,0.00820313,0.04752930,HAUT,0.37734375,0.36427677,0.38978248,0.30724188,c-cent
gpt2,S2,split-half,240,0.620833,-0.00592448,-0.00885417,-0.00279948,BAS,0.34401425,0.33213829,0.35683622,0.27980756,c-cent
gpt2,S1,split-half,1128,1.404255,0.00631649,0.00140444,0.01223810,HAUT,0.36372777,0.35131375,0.37633159,0.36071194,ind_Δ
gpt2,S0,split-half,3732,0.676313,-0.00505761,-0.00681312,-0.00345246,BAS,0.32080728,0.31266284,0.32924592,0.31430668,ind_Δ
HuggingFaceTB/SmolLM2-360M,S3,LOO,360,1.550000,0.00859375,0.00303819,0.01488824,HAUT,0.43547794,0.42653442,0.44337227,0.35207108,c-cent
HuggingFaceTB/SmolLM2-360M,S2,LOO,540,0.677778,-0.00503472,-0.00616319,-0.00405093,BAS,0.39130583,0.37928228,0.40416713,0.31762527,c-cent
HuggingFaceTB/SmolLM2-360M,S1,LOO,2160,1.200926,0.00313947,-0.00022802,0.00707619,ind_L,0.42633655,0.41598270,0.43462783,0.42453802,ind_Δ
HuggingFaceTB/SmolLM2-360M,S0,LOO,7560,0.669048,-0.00517113,-0.00601805,-0.00416406,BAS,0.38780807,0.38209434,0.39487664,0.38326194,ind_Δ
HuggingFaceTB/SmolLM2-360M,S3,LOO_sous_ensemble,120,1.550000,0.00859375,-0.00104167,0.02018555,ind_L,0.43957567,0.42872243,0.45153971,0.35601333,c-cent
HuggingFaceTB/SmolLM2-360M,S2,LOO_sous_ensemble,240,0.725000,-0.00429688,-0.00585938,-0.00279948,BAS,0.38817019,0.37631731,0.40041801,0.31537397,c-cent
