modele,strate,P,Delta_etoile,IC_inf,IC_sup,regle,statut_regle,epsilon_etoile,rapport_eps_sur_Delta,plancher_structurel_relatif,plancher_structurel_absolu,fraction_signe_non_retournable,classe_C
gpt2,S3,360,0.37522978,0.36526144,0.38525595,min,IMPLÉMENTÉE (opérationnalisation déclarée, non pré-enregistrée),0.30417024,0.810624,0.800000,0.30018382,0.000000,c-cent
gpt2,S3,360,0.37522978,0.36526144,0.38525595,produit,ALTERNATIVE (publiée, NON promue),0.38375243,1.022713,1.000000,0.37522978,1.000000,ind_Δ
gpt2,S2,540,0.33999523,0.32853848,0.35159335,min,IMPLÉMENTÉE (opérationnalisation déclarée, non pré-enregistrée),0.27642531,0.813027,0.800000,0.27199619,0.000000,c-cent
gpt2,S2,540,0.33999523,0.32853848,0.35159335,produit,ALTERNATIVE (publiée, NON promue),0.34976886,1.028746,1.000000,0.33999523,1.000000,ind_Δ
gpt2,S1,2160,0.36389527,0.35434305,0.37508867,min,IMPLÉMENTÉE (opérationnalisation déclarée, non pré-enregistrée),0.36160991,0.993720,1.000000,0.36389527,0.000000,ind_Δ
gpt2,S1,2160,0.36389527,0.35434305,0.37508867,produit,ALTERNATIVE (publiée, NON promue),0.22711897,0.624133,0.621622,0.22620517,0.000000,c-cent
gpt2,S0,7560,0.31995665,0.31208541,0.32828043,min,IMPLÉMENTÉE (opérationnalisation déclarée, non pré-enregistrée),0.31371412,0.980489,1.000000,0.31995665,0.000000,ind_Δ
gpt2,S0,7560,0.31995665,0.31208541,0.32828043,produit,ALTERNATIVE (publiée, NON promue),0.18533984,0.579265,0.577321,0.18471780,0.000000,c-cent
HuggingFaceTB/SmolLM2-360M,S3,360,0.43547794,0.42653442,0.44337227,min,IMPLÉMENTÉE (opérationnalisation déclarée, non pré-enregistrée),0.35207108,0.808471,0.800000,0.34838235,0.000000,c-cent
HuggingFaceTB/SmolLM2-360M,S3,360,0.43547794,0.42653442,0.44337227,produit,ALTERNATIVE (publiée, NON promue),0.44224124,1.015531,1.000000,0.43547794,1.000000,ind_Δ
HuggingFaceTB/SmolLM2-360M,S2,540,0.39130583,0.37928228,0.40416713,min,IMPLÉMENTÉE (opérationnalisation déclarée, non pré-enregistrée),0.31762527,0.811706,0.800000,0.31304466,0.000000,c-cent
HuggingFaceTB/SmolLM2-360M,S2,540,0.39130583,0.37928228,0.40416713,produit,ALTERNATIVE (publiée, NON promue),0.40197993,1.027278,1.000000,0.39130583,1.000000,ind_Δ
HuggingFaceTB/SmolLM2-360M,S1,2160,0.42633655,0.41598270,0.43462783,min,IMPLÉMENTÉE (opérationnalisation déclarée, non pré-enregistrée),0.42453802,0.995781,1.000000,0.42633655,0.000000,ind_Δ
HuggingFaceTB/SmolLM2-360M,S1,2160,0.42633655,0.41598270,0.43462783,produit,ALTERNATIVE (publiée, NON promue),0.26533114,0.622351,0.621622,0.26502002,0.000000,c-cent
HuggingFaceTB/SmolLM2-360M,S0,7560,0.38780807,0.38209434,0.39487664,min,IMPLÉMENTÉE (opérationnalisation déclarée, non pré-enregistrée),0.38326194,0.988277,1.000000,0.38780807,0.000000,ind_Δ
HuggingFaceTB/SmolLM2-360M,S0,7560,0.38780807,0.38209434,0.39487664,produit,ALTERNATIVE (publiée, NON promue),0.22441743,0.578682,0.577321,0.22388988,0.000000,c-cent
Qwen/Qwen2.5-1.5B,S3,360,0.30454708,0.29631842,0.31303622,min,IMPLÉMENTÉE (opérationnalisation déclarée, non pré-enregistrée),0.24684360,0.810527,0.800000,0.24363766,0.000000,c-cent
Qwen/Qwen2.5-1.5B,S3,360,0.30454708,0.29631842,0.31303622,produit,ALTERNATIVE (publiée, NON promue),0.31169845,1.023482,1.000000,0.30454708,1.000000,ind_Δ
Qwen/Qwen2.5-1.5B,S2,540,0.26843852,0.25941747,0.27733873,min,IMPLÉMENTÉE (opérationnalisation déclarée, non pré-enregistrée),0.21885255,0.815280,0.800000,0.21475082,0.000000,c-cent
Qwen/Qwen2.5-1.5B,S2,540,0.26843852,0.25941747,0.27733873,produit,ALTERNATIVE (publiée, NON promue),0.27598558,1.028115,1.000000,0.26843852,1.000000,ind_Δ
Qwen/Qwen2.5-1.5B,S1,2160,0.28743192,0.27843123,0.29948868,min,IMPLÉMENTÉE (opérationnalisation déclarée, non pré-enregistrée),0.28465304,0.990332,1.000000,0.28743192,0.000000,ind_Δ
Qwen/Qwen2.5-1.5B,S1,2160,0.28743192,0.27843123,0.29948868,produit,ALTERNATIVE (publiée, NON promue),0.17845439,0.620858,0.621622,0.17867389,0.000000,c-cent
Qwen/Qwen2.5-1.5B,S0,7560,0.25176286,0.24579715,0.25793118,min,IMPLÉMENTÉE (opérationnalisation déclarée, non pré-enregistrée),0.24657984,0.979413,1.000000,0.25176286,0.000000,ind_Δ
Qwen/Qwen2.5-1.5B,S0,7560,0.25176286,0.24579715,0.25793118,produit,ALTERNATIVE (publiée, NON promue),0.14518817,0.576686,0.577321,0.14534807,0.000000,c-cent
