modele,condition,strate,P,O_fraction,O_indices,mediane,IQR_bas,IQR_haut,f,sigma_pm,cos_moyen,corr_O_cos,p_sym_median,p_pair_median,p_sym_cellule_realise_median,exces_O_moins_p_sym_realise,p_sym_cellule_theorique,exces_O_moins_p_sym_theorique
gpt2,aucun,S3,360,5993/23040,16.647222,16/1,13/1,20/1,0.279088,1/1,0.276588,0.9954355385830933,14,4,14,2.647222,14,2.647222
gpt2,aucun,S2,540,3389/17280,12.551852,12/1,10/1,15/1,0.208951,1/1,0.206957,0.9916873256570635,10,2,10,2.551852,10,2.551852
gpt2,aucun,S1,2160,32251/138240,14.931019,14/1,12/1,18/1,0.250216,1/1,0.247890,0.9936460703807242,12,3,12,2.931019,13,1.931019
gpt2,aucun,S0,7560,17287/96768,11.433201,11/1,9/1,14/1,0.190521,1/1,0.188646,0.9918916496986513,9,2,9,2.433201,9,2.433201
gpt2,glob,S3,360,109/2880,2.422222,2/1,1/1,3/1,0.040510,106/109,0.038102,0.9807278864500983,1,1,1,1.422222,2,0.422222
gpt2,glob,S2,540,137/11520,0.761111,1/1,0/1,1/1,0.011991,329/411,0.007281,0.5939354259922913,1,1,1,-0.238889,1,-0.238889
gpt2,glob,S1,2160,155/6912,1.435185,1/1,0/1,2/1,0.023551,747/775,0.021719,0.9619417066172987,1,1,1,0.435185,1,0.435185
gpt2,glob,S0,7560,2431/241920,0.643122,0/1,0/1,1/1,0.010154,2715/4862,0.001214,0.182331342237463,0,0,0,0.643122,1,-0.356878
gpt2,type,S3,360,271/7680,2.258333,1/1,0/1,3/1,0.037642,262/271,0.034929,0.9766417659899872,1,1,1,1.258333,2,0.258333
gpt2,type,S2,540,113/11520,0.627778,0/1,0/1,1/1,0.009796,223/339,0.003091,0.27710912582421887,0,0,0,0.627778,1,-0.372222
gpt2,type,S1,2160,2681/138240,1.241204,1/1,0/1,2/1,0.020322,2525/2681,0.017902,0.9402798686728416,1,1,1,0.241204,1,0.241204
gpt2,type,S0,7560,5083/483840,0.672354,0/1,0/1,1/1,0.010597,1994/5083,-0.002299,-0.18276197398611388,0,0,0,0.672354,0,0.672354
gpt2,auto,S3,360,2999/11520,16.661111,16/1,13/1,20/1,0.279343,1/1,0.276829,0.9955947297599791,14,4,14,2.661111,14,2.661111
gpt2,auto,S2,540,6781/34560,12.557407,12/1,10/1,15/1,0.209036,1/1,0.207038,0.9915807681784201,10,2,10,2.557407,10,2.557407
gpt2,auto,S1,2160,32309/138240,14.957870,14/1,12/1,18/1,0.250545,1/1,0.248217,0.9935092001004513,12,3,12,2.957870,13,1.957870
gpt2,auto,S0,7560,86399/483840,11.428439,11/1,9/1,14/1,0.190409,1/1,0.188536,0.9918777049501984,9,2,9,2.428439,9,2.428439
gpt2,plac,S3,360,53597/130560,26.273039,445/17,392/17,29/1,0.634434,1/1,0.632204,0.9900272126290488,23,4,23,3.273039,ABSENT,ABSENT
gpt2,plac,S2,540,205517/587520,22.387473,379/17,353/17,406/17,0.592175,1/1,0.590015,0.9657157734511073,19,1,19,3.387473,ABSENT,ABSENT
gpt2,plac,S1,2160,22519/58752,24.530501,411/17,378/17,452/17,0.615734,1/1,0.613509,0.983927971553683,21,2,21,3.530501,ABSENT,ABSENT
gpt2,plac,S0,7560,1573/4760,21.149580,358/17,331/17,386/17,0.578723,1/1,0.576557,0.9674969376899938,17,1,17,4.149580,ABSENT,ABSENT
gpt2,type_sh,S3,120,79/1920,2.633333,2/1,0/1,4/1,0.043654,311/316,0.041787,0.9842024468772614,1,1,1,1.633333,2,0.633333
gpt2,type_sh,S2,240,149/15360,0.620833,0/1,0/1,1/1,0.009566,109/149,0.004547,0.4050851752451274,0,0,0,0.620833,1,-0.379167
gpt2,type_sh,S1,1128,33/1504,1.404255,1/1,0/1,2/1,0.022993,1513/1584,0.020824,0.9568585372942361,1,1,1,0.404255,1,0.404255
gpt2,type_sh,S0,3732,631/59712,0.676313,0/1,0/1,1/1,0.010776,611/1262,-0.000319,0.09941506140090113,0,0,0,0.676313,0,0.676313
gpt2,plac_sh,S3,120,1607/3840,26.783333,27/1,398/17,503/17,0.640933,1/1,0.638671,0.9890303390185434,23,4,23,3.783333,ABSENT,ABSENT
gpt2,plac_sh,S2,240,46181/130560,22.637745,387/17,355/17,412/17,0.595234,1/1,0.593079,0.9718162922673348,19,1,19,3.637745,ABSENT,ABSENT
gpt2,plac_sh,S1,1128,236659/613632,24.682833,414/17,379/17,453/17,0.618346,1/1,0.616135,0.9855610678337263,21,2,21,3.682833,ABSENT,ABSENT
gpt2,plac_sh,S0,3732,1345519/4060416,21.207979,358/17,331/17,387/17,0.579918,1/1,0.577750,0.9693180168823052,17,1,17,4.207979,ABSENT,ABSENT
gpt2,type_loo_sub,S3,120,283/7680,2.358333,1/1,0/1,4/1,0.038481,273/283,0.035554,0.9708194486834184,1,1,1,1.358333,2,0.358333
gpt2,type_loo_sub,S2,240,133/15360,0.554167,0/1,0/1,1/1,0.008613,94/133,0.003595,0.3556313770751169,0,0,0,0.554167,1,-0.445833
gpt2,type_loo_sub,S1,1128,709/36096,1.257092,1/1,0/1,2/1,0.020630,1341/1418,0.018298,0.9460822255851127,1,1,1,0.257092,1,0.257092
gpt2,type_loo_sub,S0,3732,1283/119424,0.687567,0/1,0/1,1/1,0.010884,1117/2566,-0.001419,-0.05667275644697286,0,0,0,0.687567,0,0.687567
gpt2,plac_loo_sub,S3,120,54521/130560,26.725980,458/17,397/17,501/17,0.639759,1/1,0.637496,0.9884678835757883,23,4,23,3.725980,ABSENT,ABSENT
gpt2,plac_loo_sub,S2,240,3839/10880,22.582353,386/17,355/17,410/17,0.593945,1/1,0.591788,0.9715669526366412,19,1,19,3.582353,ABSENT,ABSENT
gpt2,plac_loo_sub,S1,1128,157385/409088,24.622184,413/17,377/17,452/17,0.617082,1/1,0.614869,0.9850979953286353,21,2,21,3.622184,ABSENT,ABSENT
gpt2,plac_loo_sub,S0,3732,1341785/4060416,21.149124,21/1,330/17,386/17,0.578575,1/1,0.576406,0.9686977156360457,17,1,17,4.149124,ABSENT,ABSENT
HuggingFaceTB/SmolLM2-360M,aucun,S3,360,485/1536,20.208333,20/1,16/1,24/1,0.339670,1/1,0.336841,0.9949101822174422,18,6,18,2.208333,18,2.208333
HuggingFaceTB/SmolLM2-360M,aucun,S2,540,559/2304,15.527778,15/1,13/1,18/1,0.258876,1/1,0.256561,0.9927409159551588,13,3,13,2.527778,13,2.527778
HuggingFaceTB/SmolLM2-360M,aucun,S1,2160,20669/69120,19.137963,19/1,16/1,23/1,0.320063,1/1,0.317424,0.9942541048956625,17,5,17,2.137963,17,2.137963
HuggingFaceTB/SmolLM2-360M,aucun,S0,7560,58789/241920,15.552646,16/1,13/1,18/1,0.259106,1/1,0.256770,0.9931137998450364,13,3,13,2.552646,13,2.552646
HuggingFaceTB/SmolLM2-360M,glob,S3,360,43/1440,1.911111,1/1,0/1,3/1,0.031128,673/688,0.029569,0.9823949100281332,1,1,1,0.911111,2,-0.088889
HuggingFaceTB/SmolLM2-360M,glob,S2,540,373/34560,0.690741,0/1,0/1,1/1,0.011017,255/373,0.003929,0.26919598330168065,0,0,0,0.690741,1,-0.309259
HuggingFaceTB/SmolLM2-360M,glob,S1,2160,3131/138240,1.449537,1/1,0/1,2/1,0.023402,2981/3131,0.021042,0.9434026812891699,1,1,1,0.449537,1,0.449537
HuggingFaceTB/SmolLM2-360M,glob,S0,7560,1007/96768,0.666005,0/1,0/1,1/1,0.010514,58/95,0.002332,0.32077847700778517,0,0,0,0.666005,1,-0.333995
HuggingFaceTB/SmolLM2-360M,type,S3,360,31/1280,1.550000,1/1,0/1,2/1,0.025369,269/279,0.023462,0.9654149679348769,1,1,1,0.550000,1,0.550000
HuggingFaceTB/SmolLM2-360M,type,S2,540,61/5760,0.677778,0/1,0/1,1/1,0.010894,181/366,-0.000187,-0.13379297409706095,0,0,0,0.677778,0,0.677778
HuggingFaceTB/SmolLM2-360M,type,S1,2160,1297/69120,1.200926,1/1,0/1,2/1,0.019258,2383/2594,0.016057,0.8935272468033066,1,1,1,0.200926,1,0.200926
HuggingFaceTB/SmolLM2-360M,type,S0,7560,281/26880,0.669048,0/1,0/1,1/1,0.010526,2039/5058,-0.002100,-0.15211272801816403,0,0,0,0.669048,0,0.669048
HuggingFaceTB/SmolLM2-360M,auto,S3,360,7319/23040,20.330556,20/1,17/1,24/1,0.341941,1/1,0.339071,0.9945801165982873,18,6,18,2.330556,18,2.330556
HuggingFaceTB/SmolLM2-360M,auto,S2,540,2113/8640,15.651852,16/1,13/1,18/1,0.261010,1/1,0.258657,0.9928717554103229,13,3,13,2.651852,13,2.651852
HuggingFaceTB/SmolLM2-360M,auto,S1,2160,2767/9216,19.215278,19/1,16/1,22/1,0.321627,1/1,0.318959,0.994183102322522,17,5,17,2.215278,17,2.215278
HuggingFaceTB/SmolLM2-360M,auto,S0,7560,1231/5040,15.631746,16/1,13/1,18/1,0.260631,1/1,0.258260,0.9929680653736714,13,3,13,2.631746,13,2.631746
HuggingFaceTB/SmolLM2-360M,plac,S3,360,10003/21760,29.420588,498/17,456/17,539/17,0.701577,1/1,0.699736,0.9939366346581401,27,6,27,2.420588,ABSENT,ABSENT
HuggingFaceTB/SmolLM2-360M,plac,S2,540,118061/293760,25.721351,435/17,406/17,471/17,0.665689,1/1,0.663798,0.9876115693804696,23,2,23,2.721351,ABSENT,ABSENT
HuggingFaceTB/SmolLM2-360M,plac,S1,2160,1046023/2350080,28.486465,484/17,448/17,521/17,0.692558,1/1,0.690685,0.9913253351851269,25,5,25,3.486465,ABSENT,ABSENT
HuggingFaceTB/SmolLM2-360M,plac,S0,7560,409477/1028160,25.488764,433/17,403/17,463/17,0.663475,1/1,0.661587,0.9856984610770836,22,2,22,3.488764,ABSENT,ABSENT
HuggingFaceTB/SmolLM2-360M,type_sh,S3,120,19/640,1.900000,1/1,0/1,3/1,0.030430,73/76,0.027948,0.9671079054166535,1,1,1,0.900000,2,-0.100000
HuggingFaceTB/SmolLM2-360M,type_sh,S2,240,157/15360,0.654167,0/1,0/1,1/1,0.010821,81/157,0.000341,0.010359830938984266,0,0,0,0.654167,1,-0.345833
HuggingFaceTB/SmolLM2-360M,type_sh,S1,1128,139/6016,1.478723,1/1,0/1,2/1,0.023914,1577/1668,0.021233,0.9251138616158896,1,1,1,0.478723,1,0.478723
HuggingFaceTB/SmolLM2-360M,type_sh,S0,3732,647/59712,0.693462,0/1,0/1,1/1,0.010906,1315/2588,0.000205,0.06644351504186272,0,0,0,0.693462,1,-0.306538
