condition,metrique,moyenne,ecart_type_ou_enveloppe,N
mesure-gpt2,delta_R1_inv,0.9722222222222221,0.030555555555555558,10
mesure-gpt2,R1,1.0,,180
mesure-gpt2,R1_cle_nulle,0.027777777777777776,,180
mesure-gpt2,D,0.0,,0
mesure-gpt2,somme_m,0,,60
mesure-gpt2,K_eff_support,0,,10
mesure-gpt2,M1_centre,0.061231573597521974,0.017212628414974993,10
mesure-gpt2,M2_centre,-0.06751081089849628,0.010608939254167908,10
mesure-gpt2,M3_centre,0.056465958916825536,0.010355223748624092,10
mesure-gpt2,cos_S3,0.7434180575940343,,60
mesure-gpt2,cos_S2,0.67916687099654,,90
mesure-gpt2,cos_S1,0.7177266161474917,,360
mesure-gpt2,cos_S0,0.65563395838484,,1260
mesure-gpt2,B0,-0.04526326038233123,0.007241320222676003,10
mesure-gpt2,B0_prime_centre,-0.00648155526311868,0.009293416274402416,10
mesure-gpt2,delta_chapeau_mesure,0.003270566463470459,,60
mesure-gpt2,marge_de_tete_min,0.10878,,10
mesure-gpt2,M1_signe_bande_0,1,,590
mesure-gpt2,M1_signe_bande_1,1,,590
mesure-gpt2,M1_signe_bande_2,0,,590
mesure-gpt2,A3_amplitude_compression,0.006252925284206845,,4
mesure-gpt2,A4_M3_brut_a_t,0.06217222201524586,,1620
mesure-gpt2,A4_M3_brut_a_t_moins_1,-4.9152367171845235e-05,,1620
mesure-gpt2,P1_moins_P2,0.0,,60
mesure-gpt2,NLL_capture_nats,12.313059071699778,,60
mesure-gpt2,VRAM_reservee_bf16_Gio,0.605,,1
mesure-gpt2,VRAM_reservee_controle_fp32_Gio,1.082,,1
mesure-gpt2,duree_GPU_s,12.97,,1
mesure-smollm2-360m,delta_R1_inv,0.9833333333333334,0.01666666666666672,10
mesure-smollm2-360m,R1,1.0,,180
mesure-smollm2-360m,R1_cle_nulle,0.016666666666666666,,180
mesure-smollm2-360m,D,0.0,,0
mesure-smollm2-360m,somme_m,0,,60
mesure-smollm2-360m,K_eff_support,0,,10
mesure-smollm2-360m,M1_centre,0.04703993825095294,0.014214232131709534,10
mesure-smollm2-360m,M2_centre,-0.04796594997188178,0.008034554228149941,10
mesure-smollm2-360m,M3_centre,0.03825406875914828,0.007474398907081461,10
mesure-smollm2-360m,cos_S3,0.7886106507645713,,60
mesure-smollm2-360m,cos_S2,0.7385478068465069,,90
mesure-smollm2-360m,cos_S1,0.779438967368117,,360
mesure-smollm2-360m,cos_S0,0.7364130375620545,,1260
mesure-smollm2-360m,B0,-0.05651302454881361,0.011742522128018183,10
mesure-smollm2-360m,B0_prime_centre,-0.0027269687869454166,0.016201269131741303,10
mesure-smollm2-360m,delta_chapeau_mesure,0.004861950874328613,,60
mesure-smollm2-360m,marge_de_tete_min,0.042404,,10
mesure-smollm2-360m,M1_signe_bande_0,1,,590
mesure-smollm2-360m,M1_signe_bande_1,0,,590
mesure-smollm2-360m,M1_signe_bande_2,0,,590
mesure-smollm2-360m,A3_amplitude_compression,0.012075134665365195,,4
mesure-smollm2-360m,A4_M3_brut_a_t,0.043079899909792774,,1620
mesure-smollm2-360m,A4_M3_brut_a_t_moins_1,-0.0038979506208783876,,1620
mesure-smollm2-360m,P1_moins_P2,0.0,,60
mesure-smollm2-360m,NLL_capture_nats,13.017399279276528,,60
mesure-smollm2-360m,VRAM_reservee_bf16_Gio,1.117,,1
mesure-smollm2-360m,VRAM_reservee_controle_fp32_Gio,2.047,,1
mesure-smollm2-360m,duree_GPU_s,31.05,,1
mesure-qwen2.5-1.5b,delta_R1_inv,0.9833333333333332,0.022222222222222254,10
mesure-qwen2.5-1.5b,R1,1.0,,180
mesure-qwen2.5-1.5b,R1_cle_nulle,0.016666666666666666,,180
mesure-qwen2.5-1.5b,D,0.0,,0
mesure-qwen2.5-1.5b,somme_m,0,,60
mesure-qwen2.5-1.5b,K_eff_support,0,,10
mesure-qwen2.5-1.5b,M1_centre,0.0685667955488593,0.020103432428093548,10
mesure-qwen2.5-1.5b,M2_centre,-0.07049882733425235,0.011633360464412696,10
mesure-qwen2.5-1.5b,M3_centre,0.056364417946276106,0.010906003844530722,10
mesure-qwen2.5-1.5b,cos_S3,0.6635063297218747,,60
mesure-qwen2.5-1.5b,cos_S2,0.5935016938565689,,90
mesure-qwen2.5-1.5b,cos_S1,0.629461591814955,,360
mesure-qwen2.5-1.5b,cos_S0,0.5666794880390125,,1260
mesure-qwen2.5-1.5b,B0,-0.07819918370316141,0.01420142216766546,10
mesure-qwen2.5-1.5b,B0_prime_centre,-0.003933136567147355,0.019416708479365885,10
mesure-qwen2.5-1.5b,delta_chapeau_mesure,0.005862414836883545,,60
mesure-qwen2.5-1.5b,marge_de_tete_min,0.088331,,10
mesure-qwen2.5-1.5b,M1_signe_bande_0,1,,590
mesure-qwen2.5-1.5b,M1_signe_bande_1,0,,590
mesure-qwen2.5-1.5b,M1_signe_bande_2,0,,590
mesure-qwen2.5-1.5b,A3_amplitude_compression,0.02584428077553802,,4
mesure-qwen2.5-1.5b,A4_M3_brut_a_t,0.06289129410352978,,1620
mesure-qwen2.5-1.5b,A4_M3_brut_a_t_moins_1,-0.004177972763067195,,1620
mesure-qwen2.5-1.5b,P1_moins_P2,0.0,,60
mesure-qwen2.5-1.5b,NLL_capture_nats,13.771213234795464,,60
mesure-qwen2.5-1.5b,VRAM_reservee_bf16_Gio,4.01,,1
mesure-qwen2.5-1.5b,VRAM_reservee_controle_fp32_Gio,7.266,,1
mesure-qwen2.5-1.5b,duree_GPU_s,124.12,,1
generation-materiau,portes_D25_PASS,21,,21
generation-materiau,duree_CPU_s,7.41,,1
banc-satisfiabilite,E,0,,57
banc-satisfiabilite,n_cas,167,,57
banc-satisfiabilite,duree_CPU_s,11.04,,1
